№ задания;По Задачнику Констр. агрег. планера;;1О -401;;1О -402;;1О -403;;1О -411;
;;эл.1;эл.2;эл.1;эл.2;эл.1;эл.2;эл.1;эл.2
1;Л-1-7;1,2;1-5.;2,5;6-10.;3,1;3-7.;4,2;4-8.
2;Л-1-6;2,3;2-6.;3,1;7-1.;4,2;4-8.;5,3;5-9.
3;Л-1-5;3,4;3-7.;4,2;8-2.;5,3;5-9.;1,4;6-10.
4;Л-1-4;4,5;4-8.;5,3;9-3.;1,4;6-10.;2,5;7-1.
5;Л-1-3;5,1;5-9.;1,4;10-4.;2,5;7-1.;3,1;8-2.
6;Л-2-7;1,2;6-10.;2,5;1-5.;3,1;8-2.;4,2;9-3.
7;Л-2-6;2,3;7-1.;3,1;2-6.;4,2;9-3.;5,3;10-4.
8;Л-2-5;3,4;8-2.;4,2;3-7.;5,3;10-4.;1,4;1-5.
9;Л-2-4;4,5;9-3.;5,3;4-8.;1,4;1-5.;2,5;2-6.
10;Л-2-3;5,1;10-4.;1,4;5-9.;2,5;2-6.;3,1;3-7.
11;Л-3-3;1,2;1-5.;2,5;10-4.;3,1;3-7.;4,2;4-8.
12;Л-3-4;2,3;2-6.;3,1;1-5.;4,2;4-8.;5,3;5-9.
13;Л-3-5;3,4;3-7.;4,2;2-6.;5,3;5-9.;1,4;6-10.
14;Л-3-6;4,5;5-8.;5,3;3-7.;1,4;6-10.;2,5;7-1.
15;Л-3-7;5,1;4-9.;1,4;4-8.;2,5;7-1.;3,1;8-2.
16;Л-4-7;1,2;10-4.;2,5;5-9.;3,1;8-2.;4,2;9-3.
17;Л-4-6;2,3;9-3.;3,1;6-10.;4,2;9-3.;5,3;10-4.
18;Л-4-5;3,4;8-2.;4,2;7-1.;5,3;10-4.;1,4;1-5.
19;Л-4-4;4,5;7-1.;5,3;8-2.;1,4;1-5.;2,5;2-6.
20;Л-4-3;5,1;6-10.;1,4;9-3.;2,5;2-6.;3,1;3-7.
21;Л-1-2;1,4;1-5.;2,5;6-10.;3,1;3-7.;4,2;4-8.
22;Л-2-2;2,5;6-10.;2,5;1-5.;3,1;8-2.;4,1;9-3.
23;Л-3-2;3,4;8-2.;4,2;7-1.;5,3;10-4.;1,4;1-5.
24;Л-4-2;4,5;5-8.;5,3;3-7.;1,4;6-10.;2,5;7-1.
25;Л-1-1;5,3;4-9.;1,4;4-8.;2,5;7-1.;3,1;8-2.
