30ХГСА + КМУ-7Т2А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;7413.13;946.82;1.16
Панель;КМУ-7Т2А;2;1199.31;599.65;2.62
;;;;;
30ХГСА + КМУ-7тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;7986.79;1020.09;1.08
Панель;КМУ-7тр;2;625.66;312.83;1.92
;;;;;
30ХГСА + КМУ-2м.120.Э01;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;7555.53;965.01;1.14
Панель;КМУ-2м.120.Э01;2;1056.91;528.46;1.7
;;;;;
30ХГСА + КМУ-4э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;7515.43;959.89;1.15
Панель;КМУ-4э;2;1097.01;548.51;1.64
;;;;;
30ХГСА + КМУ-7л;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;6827;871.96;1.26
Панель;КМУ-7л;2;1785.44;892.72;1.09
;;;;;
30ХГСА + КМУ-7Т1А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;7413.13;946.82;1.16
Панель;КМУ-7Т1А;2;1199.31;599.65;2.33
;;;;;
30ХГСА + КМУ-7э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;7397.64;944.84;1.16
Панель;КМУ-7э;2;1214.8;607.4;1.48
;;;;;
30ХГСА + КМУ-11э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;7515.43;959.89;1.15
Панель;КМУ-11э;2;1097.01;548.51;1.64
;;;;;
30ХГСА + КМУ-11тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;7936.65;1013.69;1.09
Панель;КМУ-11тр;2;675.79;337.9;1.86
;;;;;
30ХГСА + КМУ-7э-0,1;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;30ХГСА;7.83;7343.93;937.98;1.17
Панель;КМУ-7э-0,1;2;1268.51;634.26;1.78
;;;;;
D16AT + КМУ-7Т2А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;7297.65;355.88;1.18
Панель;КМУ-7Т2А;2;1314.79;657.39;2.39
;;;;;
D16AT + КМУ-7тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;7921.39;386.3;1.09
Панель;КМУ-7тр;2;691.05;345.52;1.74
;;;;;
D16AT + КМУ-2м.120.Э01;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;7451.61;363.39;1.16
Панель;КМУ-2м.120.Э01;2;1160.83;580.41;1.55
;;;;;
D16AT + КМУ-4э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;7408.2;361.27;1.16
Панель;КМУ-4э;2;1204.24;602.12;1.49
;;;;;
D16AT + КМУ-7л;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;6669.87;325.27;1.29
Панель;КМУ-7л;2;1942.57;971.28;1
;;;;;
D16AT + КМУ-7Т1А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;7297.65;355.88;1.18
Панель;КМУ-7Т1А;2;1314.79;657.39;2.13
;;;;;
D16AT + КМУ-7э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;7280.94;355.07;1.18
Панель;КМУ-7э;2;1331.5;665.75;1.35
;;;;;
D16AT + КМУ-11э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;7408.2;361.27;1.16
Панель;КМУ-11э;2;1204.24;602.12;1.49
;;;;;
D16AT + КМУ-11тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;7866.51;383.62;1.09
Панель;КМУ-11тр;2;745.93;372.97;1.69
;;;;;
D16AT + КМУ-7э-0,1;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;20.51;7223.04;352.24;1.19
Панель;КМУ-7э-0,1;2;1389.4;694.7;1.63
;;;;;
OT-4 + КМУ-7Т2А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7197.76;585.02;1.2
Панель;КМУ-7Т2А;2;1414.68;707.34;2.22
;;;;;
OT-4 + КМУ-7тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7864.03;639.17;1.1
Панель;КМУ-7тр;2;748.41;374.21;1.6
;;;;;
OT-4 + КМУ-2м.120.Э01;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7361.41;598.32;1.17
Панель;КМУ-2м.120.Э01;2;1251.03;625.52;1.44
;;;;;
OT-4 + КМУ-4э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7315.21;594.56;1.18
Панель;КМУ-4э;2;1297.23;648.62;1.39
;;;;;
OT-4 + КМУ-7л;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;6535.85;531.22;1.32
Панель;КМУ-7л;2;2076.59;1038.29;0.93
;;;;;
OT-4 + КМУ-7Т1А;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7197.76;585.02;1.2
Панель;КМУ-7Т1А;2;1414.68;707.34;1.98
;;;;;
OT-4 + КМУ-7э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7180.03;583.58;1.2
Панель;КМУ-7э;2;1432.42;716.21;1.26
;;;;;
OT-4 + КМУ-11э;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7315.21;594.56;1.18
Панель;КМУ-11э;2;1297.23;648.62;1.39
;;;;;
OT-4 + КМУ-11тр;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7805.05;634.38;1.1
Панель;КМУ-11тр;2;807.39;403.69;1.56
;;;;;
OT-4 + КМУ-7э-0,1;;;;;
Элемент;Марка;h;Ni;sigma;eta
Полка;OT-4;12.3;7118.63;578.59;1.21
Панель;КМУ-7э-0,1;2;1493.81;746.9;1.51
;;;;;
B95 + КМУ-7Т2А;;;;;
