
Метод распределения усилий: D16AT + КМУ-7Т1А
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;10.03;3076.7;306.9;1.37
Панель;КМУ-7Т1А;2;1133.83;566.91;2.47

Метод распределения усилий: D16AT + КМУ-7э
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;10.03;3064.29;305.66;1.37
Панель;КМУ-7э;2;1146.24;573.12;1.57

Метод распределения усилий: D16AT + КМУ-11э
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;10.03;3159.87;315.2;1.33
Панель;КМУ-11э;2;1050.66;525.33;1.71

Метод распределения усилий: D16AT + КМУ-11тр
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;10.03;3526.53;351.77;1.19
Панель;КМУ-11тр;2;684.0;342.0;1.84

Метод распределения усилий: D16AT + КМУ-7э-0,1
Элемент;Марка;h;Ni;sigma;eta
Полка;D16AT;10.03;3021.64;301.41;1.39
Панель;КМУ-7э-0,1;2;1188.89;594.44;1.9

Метод распределения усилий: BT20 + КМУ-7Т1А
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;4.21;2674.51;635.2;1.57
Панель;КМУ-7Т1А;2;1536.02;768.01;1.82

Метод распределения усилий: BT20 + КМУ-7э
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;4.21;2659.92;631.73;1.58
Панель;КМУ-7э;2;1550.61;775.31;1.16

Метод распределения усилий: BT20 + КМУ-11э
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;4.21;2773.4;658.68;1.52
Панель;КМУ-11э;2;1437.13;718.56;1.25

Метод распределения усилий: BT20 + КМУ-11тр
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;4.21;3233.21;767.89;1.3
Панель;КМУ-11тр;2;977.31;488.66;1.29

Метод распределения усилий: BT20 + КМУ-7э-0,1
Элемент;Марка;h;Ni;sigma;eta
Полка;BT20;4.21;2610.08;619.89;1.61
Панель;КМУ-7э-0,1;2;1600.45;800.23;1.41
